iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,jitter_applied,acquisition
1,0.6634861383027804,0.9936384216689628,0.6593554192427584,0.8942744679100145,0.934948255848108,0.6955424032695969,0.7189409365613995,0.6863744515446766,0.5534767982363872,4.547481136233974,4.547481136233974,False,pi
2,0.7394827270813584,0.6206760725423411,0.6285726242755649,0.5923657784172074,0.5969322744521554,0.9069138350775106,0.7114920940721132,0.627960252579113,0.7954514258827058,4.519816742481773,4.519816742481773,False,pi
3,0.802136148029228,0.8234290135300939,0.955678190224262,0.5751030559809842,0.6856935642211981,0.6423103187554062,0.5083910261622253,0.5907769686813648,0.6973342906493014,4.0224199595429715,4.0224199595429715,False,pi
4,0.6966553550431621,0.8083639722035005,0.7261332644135732,0.8036653337857375,0.6115299927066864,0.5669935658996895,0.664644688355877,0.5480542167640735,0.682919957333898,4.505547045632103,4.505547045632103,False,pi
5,0.7300896537449789,0.8594943219447571,0.9335124346677064,0.525917826258337,0.9780479553329497,0.860050712607684,0.9943867993365771,0.559388554649145,0.6875108778491498,3.7314619029860774,3.7314619029860774,False,pi
6,0.713677938315568,0.9591373647948559,0.6644468971348724,0.8094124364768231,0.904057297967729,0.7332027438972117,0.7570063512962675,0.6319223663403384,0.5239885379527651,4.4901105667483385,4.4901105667483385,False,pi
7,0.6405524292566149,0.8149317709811814,0.6914146359391864,0.8929316372059044,0.7964717334327462,0.6332219430488061,0.6768771485899214,0.6671099460409713,0.648116694875039,4.417287190331716,4.417287190331716,False,pi
8,0.8308687263172079,0.9958241321298958,0.535834521530921,0.8950333292333019,0.7198371361128848,0.6309805676995319,0.5928086357950937,0.5864051271640476,0.5235833280752288,4.8693169394253655,4.8693169394253655,False,pi
9,0.8547960475301931,0.879776309907589,0.5663016689929995,0.8779444883696579,0.6326727887367978,0.9322969407574593,0.5333263567241965,0.7159893718130461,0.5011723254376074,4.791444681571815,4.791444681571815,False,pi
10,0.9716062230266154,0.9837992512508069,0.5390487239987748,0.9664390400673493,0.6163751835128577,0.8334123714203301,0.6239621567678016,0.8200861865439173,0.7675553411954703,5.242177662231564,5.242177662231564,False,pi
11,0.9354080799559474,0.9306491799716565,0.5285628021966648,0.9859823974253468,0.6408178866099987,0.6969584023071969,0.6088222652938472,0.8749393889526851,0.6869381584347265,5.299784160052926,5.299784160052926,False,pi
12,0.9529982510188052,0.9095534888734467,0.5003019173552095,0.7115788468471753,0.5324795995504448,0.7026226544503256,0.7474687266787349,0.8468707104730614,0.9485407802113277,4.88646945221181,4.88646945221181,False,pi
13,0.9975187553807265,0.9003288638321321,0.5641444276285354,0.8918427410724278,0.6230584974699165,0.8877379231266389,0.8324789615348018,0.9706947001145778,0.7173277413921462,5.237079156754167,5.237079156754167,False,pi
14,0.9322577643884588,0.9811564095549914,0.5029238280878079,0.9986690289887983,0.5169882613308168,0.9430756592729912,0.7371250651522125,0.942446261572677,0.895706310182822,5.266015567765588,5.266015567765588,False,pi
