Hypervolume;Run
66.75199890136719;0
67.7760009765625;1
979123.1875;2
1049241.625;3
1049241.625;4
1050931.25;5
1050931.25;6
1097395.25;7
1097395.25;8
1097395.25;9
1097395.25;10
1097395.25;11
1097395.25;12
1097395.25;13
1105843.25;14
1105843.25;15
