User_ID;Condition_ID;Group_ID;Timestamp;Run;Phase;IsPareto;Trust;Understanding;MentalLoad;PerceivedSafety;Aesthetics;Acceptance;TimeToStartCrossing;verticalPosition;verticalWidth;horizontalWidth;r;g;b;a;blinkFrequency;volume
8;1;-1;2024-09-03 13:07:14;1;sampling;FALSE;4.0;4.0;9.0;3.0;5.0;7.0;13.64;0.571216456592083;0.684220165014267;0.8516631126403809;0.6026630848646164;0.8192606270313263;0.7624099552631378;0.8448669612407684;0.5351701565086842;0.6939396560192108
8;1;-1;2024-09-03 13:09:05;2;sampling;FALSE;3.0;3.5;8.0;2.25;6.0;7.0;15.0;0.673928752541542;0.9460311532020569;0.6089437901973724;0.6183651834726334;0.7091426402330399;0.6190721690654755;0.7485894560813904;0.709507092833519;0.7984497547149658
8;1;-1;2024-09-03 13:10:49;3;sampling;FALSE;2.0;3.0;7.000000000000001;0.5;7.0;7.0;15.0;0.8642500936985016;0.6845929324626923;0.9356712102890015;0.6337292343378067;0.7317203879356384;0.8513949513435364;0.5873682796955109;0.9594457447528839;0.9082525074481964
8;1;-1;2024-09-03 13:12:28;4;sampling;FALSE;3.0;4.0;6.0;1.5;7.0;7.0;15.0;0.7652979791164398;0.5814417079091072;0.8138562440872192;0.7765065133571625;0.623119443655014;0.7318269610404968;0.84910848736763;0.7631576061248779;0.9461965262889862
8;1;-1;2024-09-03 13:14:30;5;sampling;FALSE;5.0;3.75;9.0;3.0;7.0;7.0;13.129999999999999;0.5841478183865547;0.7210822254419327;0.7324564456939697;0.9894124567508698;0.7224889844655991;0.8775119483470917;0.9890377223491669;0.9511557221412659;0.5887019485235214
8;1;-1;2024-09-03 13:18:09;1;optimization;TRUE;4.0;4.0;8.0;2.25;7.0;7.0;13.979999999999999;0.5167963496270268;0.5520289971318084;0.9469343797964282;0.8956283346580385;0.6652778575698368;0.6414049220774523;0.9099326533148184;0.9418653480323358;0.5629792829064044
8;1;-1;2024-09-03 13:19:59;2;optimization;FALSE;3.0;3.75;6.0;0.75;7.0;7.0;15.0;0.7723297138821279;0.799905256524817;0.9999314916576927;0.9873979233631267;0.8684849078322849;0.8216833556487417;0.982160588595442;0.9967481360985262;0.7906332697147488
8;1;-1;2024-09-03 13:21:42;3;optimization;FALSE;2.5;3.25;5.0;-1.0;7.0;7.0;15.0;0.7306601473628398;0.7618557278290139;1.0;0.9981220959594944;0.8363955880677616;0.7810259565655298;1.0;1.0;0.7677018611367368
8;1;-1;2024-09-03 13:23:36;4;optimization;FALSE;3.0;3.5;7.000000000000001;1.5;7.0;7.0;14.01;0.8483754036054422;0.8496886809211028;1.0;0.9484599533657383;0.9399104343833613;0.8628002224491489;0.9496071037014437;1.0;0.7817511569609941
8;1;-1;2024-09-03 13:26:07;5;optimization;FALSE;2.0;2.5;5.0;-2.0;7.0;7.0;15.0;0.7573526758840867;0.8456511446524924;1.0;1.0;0.8140310002074043;0.8478596451116782;0.9453274473479447;1.0;0.6971587096701304
