Hypervolume;Run
76.43866729736328;0
77.86080932617188;1
701064.0;2
716257.9375;3
716257.9375;4
716525.75;5
716525.75;6
716525.75;7
1038884.1875;8
1086629.75;9
1101956.125;10
1191823.0;11
1265267.75;12
1265672.5;13
1375821.75;14
1375821.75;15
