Optimization;Execution_Time
1;10.298336267471313
2;4.747810125350952
3;4.459142208099365
4;6.8853137493133545
5;6.401061296463013
6;3.8169307708740234
7;9.064234733581543
8;7.51805567741394
9;10.359392166137695
10;9.730608463287354
11;8.53549337387085
12;11.588757514953613
13;17.52453327178955
14;10.30220651626587
15;14.576785802841187
